DEBUG    | 2023-06-20 09:33:13,212 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:33:13,213 | 137  - read_raw_input                           | Collected 9 files for further processing
DEBUG    | 2023-06-20 09:33:13,213 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json' mode='r' encoding='UTF-8'>. Repository is epos
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json' mode='r' encoding='UTF-8'>. Repository is cfn-cost
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json' mode='r' encoding='UTF-8'>. Repository is gitlabform
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json' mode='r' encoding='UTF-8'>. Repository is cfn-cloudtrail
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-cluster
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service-v2
DEBUG    | 2023-06-20 09:33:13,214 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json' mode='r' encoding='UTF-8'>. Repository is auth0-config-migrator
DEBUG    | 2023-06-20 09:33:13,215 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json' mode='r' encoding='UTF-8'>. Repository is aws-cloudformation-rain
DEBUG    | 2023-06-20 09:34:10,923 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:34:10,923 | 63   - <module>                                 | Starting file-upload
DEBUG    | 2023-06-20 09:34:10,923 | 54   - __init__                                 | Using selector: EpollSelector
DEBUG    | 2023-06-20 09:34:10,923 | 63   - run                                      | Bulk-Upload set to True
DEBUG    | 2023-06-20 09:34:10,923 | 67   - run                                      | AvailableScanner is Gitleaks
DEBUG    | 2023-06-20 09:34:10,923 | 75   - run                                      | AvailableScanner is Gitleaks. Using FileInput with default filepath test/gitleaks_input
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json
DEBUG    | 2023-06-20 09:34:10,924 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json
DEBUG    | 2023-06-20 09:34:10,924 | 137  - read_raw_input                           | Collected 9 files for further processing
DEBUG    | 2023-06-20 09:34:10,924 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json' mode='r' encoding='UTF-8'>. Repository is epos
DEBUG    | 2023-06-20 09:34:10,924 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json' mode='r' encoding='UTF-8'>. Repository is cfn-cost
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json' mode='r' encoding='UTF-8'>. Repository is gitlabform
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json' mode='r' encoding='UTF-8'>. Repository is cfn-cloudtrail
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-cluster
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service-v2
DEBUG    | 2023-06-20 09:34:10,925 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json' mode='r' encoding='UTF-8'>. Repository is auth0-config-migrator
DEBUG    | 2023-06-20 09:34:10,926 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json' mode='r' encoding='UTF-8'>. Repository is aws-cloudformation-rain
DEBUG    | 2023-06-20 09:34:10,957 | 253  - write_results_to_db                      | Will write 36 entries to DB
DEBUG    | 2023-06-20 09:34:10,979 | 82   - run                                      | 36 entries written to DB
DEBUG    | 2023-06-20 09:34:10,979 | 88   - run                                      | Result:
DEBUG    | 2023-06-20 09:34:10,979 | 94   - run                                      | {'db_results': ['649156727352952c38d5ec9c', '649156727352952c38d5ec9d', '649156727352952c38d5ec9e', '649156727352952c38d5ec9f', '649156727352952c38d5eca0', '649156727352952c38d5eca1', '649156727352952c38d5eca2', '649156727352952c38d5eca3', '649156727352952c38d5eca4', '649156727352952c38d5eca5', '649156727352952c38d5eca6', '649156727352952c38d5eca7', '649156727352952c38d5eca8', '649156727352952c38d5eca9', '649156727352952c38d5ecaa', '649156727352952c38d5ecab', '649156727352952c38d5ecac', '649156727352952c38d5ecad', '649156727352952c38d5ecae', '649156727352952c38d5ecaf', '649156727352952c38d5ecb0', '649156727352952c38d5ecb1', '649156727352952c38d5ecb2', '649156727352952c38d5ecb3', '649156727352952c38d5ecb4', '649156727352952c38d5ecb5', '649156727352952c38d5ecb6', '649156727352952c38d5ecb7', '649156727352952c38d5ecb8', '649156727352952c38d5ecb9', '649156727352952c38d5ecba', '649156727352952c38d5ecbb', '649156727352952c38d5ecbc', '649156727352952c38d5ecbd', '649156727352952c38d5ecbe', '649156727352952c38d5ecbf'], 'already_stored': set(), 'errors': 0}
DEBUG    | 2023-06-20 09:34:10,979 | 46   - cleanup                                  | Cleaning up FSScanResultsManager
DEBUG    | 2023-06-20 09:45:29,778 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:45:29,778 | 63   - <module>                                 | Starting file-upload
DEBUG    | 2023-06-20 09:45:29,778 | 54   - __init__                                 | Using selector: EpollSelector
DEBUG    | 2023-06-20 09:45:29,778 | 63   - run                                      | Bulk-Upload set to True
DEBUG    | 2023-06-20 09:45:29,778 | 67   - run                                      | AvailableScanner is Gitleaks
DEBUG    | 2023-06-20 09:45:29,778 | 75   - run                                      | AvailableScanner is Gitleaks. Using FileInput with default filepath test/gitleaks_input
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json
DEBUG    | 2023-06-20 09:45:29,779 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json
DEBUG    | 2023-06-20 09:45:29,779 | 137  - read_raw_input                           | Collected 9 files for further processing
DEBUG    | 2023-06-20 09:45:29,779 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json' mode='r' encoding='UTF-8'>. Repository is epos
DEBUG    | 2023-06-20 09:45:29,779 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json' mode='r' encoding='UTF-8'>. Repository is cfn-cost
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json' mode='r' encoding='UTF-8'>. Repository is gitlabform
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json' mode='r' encoding='UTF-8'>. Repository is cfn-cloudtrail
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-cluster
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service-v2
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json' mode='r' encoding='UTF-8'>. Repository is auth0-config-migrator
DEBUG    | 2023-06-20 09:45:29,780 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json' mode='r' encoding='UTF-8'>. Repository is aws-cloudformation-rain
DEBUG    | 2023-06-20 09:45:29,813 | 253  - write_results_to_db                      | Will write 36 entries to DB
DEBUG    | 2023-06-20 09:45:29,836 | 82   - run                                      | 36 entries written to DB
DEBUG    | 2023-06-20 09:45:29,836 | 88   - run                                      | Result:
DEBUG    | 2023-06-20 09:45:29,836 | 94   - run                                      | {'db_results': ['64915919ad9c57d1d3037d7b', '64915919ad9c57d1d3037d7c', '64915919ad9c57d1d3037d7d', '64915919ad9c57d1d3037d7e', '64915919ad9c57d1d3037d7f', '64915919ad9c57d1d3037d80', '64915919ad9c57d1d3037d81', '64915919ad9c57d1d3037d82', '64915919ad9c57d1d3037d83', '64915919ad9c57d1d3037d84', '64915919ad9c57d1d3037d85', '64915919ad9c57d1d3037d86', '64915919ad9c57d1d3037d87', '64915919ad9c57d1d3037d88', '64915919ad9c57d1d3037d89', '64915919ad9c57d1d3037d8a', '64915919ad9c57d1d3037d8b', '64915919ad9c57d1d3037d8c', '64915919ad9c57d1d3037d8d', '64915919ad9c57d1d3037d8e', '64915919ad9c57d1d3037d8f', '64915919ad9c57d1d3037d90', '64915919ad9c57d1d3037d91', '64915919ad9c57d1d3037d92', '64915919ad9c57d1d3037d93', '64915919ad9c57d1d3037d94', '64915919ad9c57d1d3037d95', '64915919ad9c57d1d3037d96', '64915919ad9c57d1d3037d97', '64915919ad9c57d1d3037d98', '64915919ad9c57d1d3037d99', '64915919ad9c57d1d3037d9a', '64915919ad9c57d1d3037d9b', '64915919ad9c57d1d3037d9c', '64915919ad9c57d1d3037d9d', '64915919ad9c57d1d3037d9e'], 'already_stored': set(), 'errors': 0}
DEBUG    | 2023-06-20 09:45:29,836 | 46   - cleanup                                  | Cleaning up FSScanResultsManager
DEBUG    | 2023-06-20 09:56:59,025 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:56:59,025 | 63   - <module>                                 | Starting file-upload
DEBUG    | 2023-06-20 09:56:59,026 | 54   - __init__                                 | Using selector: EpollSelector
DEBUG    | 2023-06-20 09:56:59,026 | 63   - run                                      | Bulk-Upload set to True
DEBUG    | 2023-06-20 09:56:59,026 | 67   - run                                      | AvailableScanner is Gitleaks
DEBUG    | 2023-06-20 09:56:59,026 | 75   - run                                      | AvailableScanner is Gitleaks. Using FileInput with default filepath test/gitleaks_input
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json
DEBUG    | 2023-06-20 09:56:59,026 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json
DEBUG    | 2023-06-20 09:56:59,027 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json
DEBUG    | 2023-06-20 09:56:59,027 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json
DEBUG    | 2023-06-20 09:56:59,027 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json
DEBUG    | 2023-06-20 09:56:59,027 | 137  - read_raw_input                           | Collected 9 files for further processing
DEBUG    | 2023-06-20 09:56:59,027 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json' mode='r' encoding='UTF-8'>. Repository is epos.helloworld
DEBUG    | 2023-06-20 09:56:59,027 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json' mode='r' encoding='UTF-8'>. Repository is cfn-cost
DEBUG    | 2023-06-20 09:56:59,027 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json' mode='r' encoding='UTF-8'>. Repository is gitlabform
DEBUG    | 2023-06-20 09:56:59,027 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json' mode='r' encoding='UTF-8'>. Repository is cfn-cloudtrail
DEBUG    | 2023-06-20 09:56:59,027 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-cluster
DEBUG    | 2023-06-20 09:56:59,028 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service
DEBUG    | 2023-06-20 09:56:59,028 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service-v2
DEBUG    | 2023-06-20 09:56:59,028 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json' mode='r' encoding='UTF-8'>. Repository is auth0-config-migrator
DEBUG    | 2023-06-20 09:56:59,028 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json' mode='r' encoding='UTF-8'>. Repository is aws-cloudformation-rain
DEBUG    | 2023-06-20 09:56:59,060 | 253  - write_results_to_db                      | Will write 36 entries to DB
DEBUG    | 2023-06-20 09:56:59,083 | 82   - run                                      | 36 entries written to DB
DEBUG    | 2023-06-20 09:56:59,083 | 88   - run                                      | Result:
DEBUG    | 2023-06-20 09:56:59,083 | 94   - run                                      | {'db_results': ['64915bcb4086fa6b704da4dc', '64915bcb4086fa6b704da4dd', '64915bcb4086fa6b704da4de', '64915bcb4086fa6b704da4df', '64915bcb4086fa6b704da4e0', '64915bcb4086fa6b704da4e1', '64915bcb4086fa6b704da4e2', '64915bcb4086fa6b704da4e3', '64915bcb4086fa6b704da4e4', '64915bcb4086fa6b704da4e5', '64915bcb4086fa6b704da4e6', '64915bcb4086fa6b704da4e7', '64915bcb4086fa6b704da4e8', '64915bcb4086fa6b704da4e9', '64915bcb4086fa6b704da4ea', '64915bcb4086fa6b704da4eb', '64915bcb4086fa6b704da4ec', '64915bcb4086fa6b704da4ed', '64915bcb4086fa6b704da4ee', '64915bcb4086fa6b704da4ef', '64915bcb4086fa6b704da4f0', '64915bcb4086fa6b704da4f1', '64915bcb4086fa6b704da4f2', '64915bcb4086fa6b704da4f3', '64915bcb4086fa6b704da4f4', '64915bcb4086fa6b704da4f5', '64915bcb4086fa6b704da4f6', '64915bcb4086fa6b704da4f7', '64915bcb4086fa6b704da4f8', '64915bcb4086fa6b704da4f9', '64915bcb4086fa6b704da4fa', '64915bcb4086fa6b704da4fb', '64915bcb4086fa6b704da4fc', '64915bcb4086fa6b704da4fd', '64915bcb4086fa6b704da4fe', '64915bcb4086fa6b704da4ff'], 'already_stored': set(), 'errors': 0}
DEBUG    | 2023-06-20 09:56:59,083 | 46   - cleanup                                  | Cleaning up FSScanResultsManager
DEBUG    | 2023-06-20 09:57:44,540 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:57:44,540 | 63   - <module>                                 | Starting file-upload
DEBUG    | 2023-06-20 09:57:44,541 | 54   - __init__                                 | Using selector: EpollSelector
DEBUG    | 2023-06-20 09:57:44,541 | 63   - run                                      | Bulk-Upload set to True
DEBUG    | 2023-06-20 09:57:44,541 | 67   - run                                      | AvailableScanner is Gitleaks
DEBUG    | 2023-06-20 09:57:44,541 | 75   - run                                      | AvailableScanner is Gitleaks. Using FileInput with default filepath test/gitleaks_input
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json
DEBUG    | 2023-06-20 09:57:44,541 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json
DEBUG    | 2023-06-20 09:57:44,542 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json
DEBUG    | 2023-06-20 09:57:44,542 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json
DEBUG    | 2023-06-20 09:57:44,542 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json
DEBUG    | 2023-06-20 09:57:44,542 | 137  - read_raw_input                           | Collected 9 files for further processing
DEBUG    | 2023-06-20 09:57:44,542 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json' mode='r' encoding='UTF-8'>. Repository is epos.helloworld
DEBUG    | 2023-06-20 09:57:44,542 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json' mode='r' encoding='UTF-8'>. Repository is cfn-cost
DEBUG    | 2023-06-20 09:57:44,542 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json' mode='r' encoding='UTF-8'>. Repository is gitlabform
DEBUG    | 2023-06-20 09:57:44,542 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json' mode='r' encoding='UTF-8'>. Repository is cfn-cloudtrail
DEBUG    | 2023-06-20 09:57:44,543 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-cluster
DEBUG    | 2023-06-20 09:57:44,543 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service
DEBUG    | 2023-06-20 09:57:44,543 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json' mode='r' encoding='UTF-8'>. Repository is cfn-ecs-service-v2
DEBUG    | 2023-06-20 09:57:44,543 | 154  - read_file                                | Found valid JSON in file <_io.TextIOWrapper name='test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json' mode='r' encoding='UTF-8'>. Repository is auth0-config-migrator
